,Name,Political Stance,Session,Question Order,Current Question,World,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
0,A125FN8IYVB93O,Democrats,5b7ad2a8212d6,"18,16,17,14,21,3,6,1,11,5,19,15,8,9,22,13,10,7,20,2,4,12",,2,oppose,oppose,oppose,oppose,support,support,oppose,oppose,oppose,oppose,oppose,support,support,oppose,support,support,oppose,support,oppose,support,support,support
1,A1BQCRF5Q76YFY,Republicans,5b7acb323ea88,"19,2,7,5,21,13,4,11,18,17,6,1,9,3,22,20,12,8,14,10,16,15",,2,oppose,support,oppose,oppose,support,oppose,oppose,oppose,support,oppose,oppose,support,oppose,support,support,support,oppose,oppose,oppose,support,support,support
2,A1L5H5KX16J1LS,Democrats,5b7ae91899aea,"13,14,15,12,21,9,7,2,11,17,1,19,18,8,22,10,4,5,6,3,16,20",,2,oppose,oppose,support,support,support,oppose,support,support,support,oppose,oppose,support,oppose,oppose,support,support,oppose,oppose,oppose,support,oppose,support
3,A2460MAJX0NA82,Democrats,5b7ae5725800f,"2,19,8,10,21,20,5,15,1,18,4,3,17,11,22,9,12,13,7,6,16,14",,2,oppose,support,support,support,support,support,oppose,oppose,support,support,oppose,support,support,oppose,support,oppose,support,oppose,oppose,support,oppose,oppose
4,A2KVYRNL2CK95F,Democrats,5b7ad6afd81e8,"16,20,13,10,21,6,8,9,4,3,5,2,12,7,22,14,15,19,18,11,1,17",,2,oppose,oppose,oppose,oppose,oppose,support,oppose,oppose,oppose,support,oppose,support,oppose,oppose,support,oppose,support,oppose,oppose,support,support,oppose
5,A2TG7EEQ2XG2IK,Democrats,5b7ae05200182,"8,6,12,5,21,11,10,4,16,3,2,20,7,17,22,9,14,18,15,1,19,13",,2,oppose,support,support,support,support,support,oppose,support,oppose,support,support,oppose,oppose,oppose,oppose,oppose,oppose,oppose,oppose,support,support,oppose
